business_name,category,description,keyvals,product_link,product_name,regular_price,sale_price
tls,wine,,,https://www.theliquorshop.com.sg/collections/whisky-singapore/products/bundle-chivas-regal-mizunara-chivas-regal-12-with-free-chivas-regal-extra-worth-138,Bundle Chivas Regal Mizunara + Chivas Regal 12 With Free Chivas Regal Extra (Worth $138),[179.0],[179.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Thomas H Handy Sazerac Straight Rye Whisky\u00a02011 Bot.2017 Release"", ""Volumn:"": ""750ml"", ""Alcohol Percentage:"": ""63.6%"", ""Type:"": ""Rye Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/thomas-h-handy-sazerac-straight-rye-whisky-2011-bot-2017-release,Thomas H Handy Sazerac Straight Rye Whisky 2011 Bot.2017 Release 75cl,[1100.0],[1600.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of The Matsui\u00a0Sakura Cask Japanese whisky"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""48%"", ""Type:"": ""Japanese\u00a0Single Malt Whisky\u00a0(Japanese whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/the-matsui-sakura-cask-japanese-whisky-70cl,The Matsui Sakura Cask Japanese whisky 70cl,[175.0],[188.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of The Matsui Mizunara Cask Japanese whisky"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""48%"", ""Type:"": ""Japanese\u00a0Single Malt Whisky\u00a0(Japanese whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/the-matsui-mizunara-cask-japanese-whisky-70cl,The Matsui Mizunara Cask Japanese whisky 70cl,[175.0],[188.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of George T Stagg 2002 Bot.2017 Release Bourbon Whisky"", ""Volumn:"": ""750ml"", ""Alcohol Percentage:"": ""64.6%"", ""Type:"": ""Bourbon Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/george-t-stagg-2002-bot-2017-release-bourbon-whisky,George T Stagg 2002 Bot.2017 Release Bourbon Whisky,[1388.0],[1500.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Colonel Edmund Haynes(EH) Taylor Small Batch Bourbon Whisky"", ""Volumn:"": ""750ml"", ""Alcohol Percentage:"": ""50%"", ""Type:"": ""Bourbon Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/colonel-edmund-hayneseh-taylor-small-batch-bourbon-whisky,Colonel Edmund Haynes(EH) Taylor Small Batch Bourbon Whisky 75cl,[280.0],[428.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Tottori\u00a0Aged in Bourbon Barrel Blended Japanese whisky"", ""Volume:"": ""500ml"", ""Alcohol Percentage:"": ""43%"", ""Type:"": ""Japanese Blended\u00a0Whisky\u00a0(Japanese whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/tottori-aged-in-bourbon-barrel-blended-japanese-whisky,Tottori Aged in Bourbon Barrel Blended Japanese whisky 50cl,[90.0],[120.8]
tls,wine,,,https://www.theliquorshop.com.sg/collections/whisky-singapore/products/bowmore-18-years-old-gift-set-free-2-whisky-glass,Bowmore 18 Years old Gift Set FREE 2 Whisky Glass,[182.0],[239.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Tottori Blended Japanese whisky"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""43%"", ""Type:"": ""Japanese Blended\u00a0Whisky\u00a0(Japanese whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/tottori-blended-japanese-whisky-70cl,Tottori Blended Japanese whisky 70cl,[110.0],[169.8]
tls,wine,,,https://www.theliquorshop.com.sg/collections/whisky-singapore/products/bowmore-15-years-old-gift-set-free-2-whisky-glass,Bowmore 15 Years Old Gift Set FREE 2 Whisky Glass,[145.8],[272.0]
